Year;quarter;ukos;mode;country;purpose;package;Age;Sex;duration;visits;nights;expend;sample
2022;1;1;1;10;1;1;1;1;2;"1417,855";"5671,421";"671544,982";2
2022;1;1;1;10;1;1;1;2;2;"683,458";"4784,206";"598025,750";1
2022;1;1;1;10;1;1;2;1;2;"3632,348";"22198,528";"2498663,507";4
2022;1;1;1;10;1;1;2;1;3;"1227,208";"17180,918";"2086254,348";1
2022;1;1;1;10;1;1;2;2;2;"827,585";"4551,715";"723722,660";2
2022;1;1;1;10;1;1;3;1;1;"710,615";"2131,844";"407182,193";1
2022;1;1;1;10;1;1;3;1;2;"11882,019";"75271,363";"12487367,448";17
2022;1;1;1;10;1;1;3;1;3;"1074,264";"19336,745";"1904669,374";1
2022;1;1;1;10;1;1;3;2;2;"5301,274";"28952,184";"4385168,867";8
2022;1;1;1;10;1;1;3;2;4;"710,615";"31977,659";"1065921,972";1
2022;1;1;1;10;1;1;4;1;1;"1204,996";"1775,093";"401263,637";2
2022;1;1;1;10;1;1;4;1;2;"8924,957";"55827,063";"10461875,374";14
2022;1;1;1;10;1;1;4;2;1;"1419,153";"2838,306";"212769,129";2
2022;1;1;1;10;1;1;4;2;2;"4520,561";"25019,900";"4390125,890";5
2022;1;1;1;10;1;1;5;1;2;"13519,202";"91785,907";"12661140,477";18
2022;1;1;1;10;1;1;5;1;3;"1334,086";"18677,203";"1111293,606";1
2022;1;1;1;10;1;1;5;2;2;"5601,491";"40937,079";"7335267,464";6
2022;1;1;1;10;1;1;6;1;2;"7007,468";"45549,450";"10512217,606";8
2022;1;1;1;10;1;1;6;1;3;"708,538";"9919,537";"1772054,346";1
2022;1;1;1;10;1;1;6;2;2;"6126,150";"35463,545";"3809153,371";8
2022;1;1;1;10;1;1;7;1;2;"2575,463";"18028,239";"3355443,513";4
2022;1;1;1;10;1;1;7;1;3;"826,870";"11576,180";"1924290,256";2
2022;1;1;1;10;1;1;7;2;2;"2057,702";"14403,917";"3047241,553";3
2022;1;1;1;10;1;1;7;2;3;"919,947";"19318,895";"392817,541";1
2022;1;1;1;10;1;1;9;1;2;"1455,898";"13106,585";"1707524,511";2
2022;1;1;1;10;1;1;9;2;2;"1630,562";"11413,934";"1868624,110";2
2022;1;1;1;10;1;1;9;9;2;"710,615";"4974,303";"814364,387";1
2022;1;1;1;10;1;2;1;1;2;"1935,747";"13550,227";"3254324,127";2
2022;1;1;1;10;1;2;1;2;2;"828,572";"7457,151";"773057,952";1
2022;1;1;1;10;1;2;2;1;2;"3665,023";"21652,906";"2690037,071";4
2022;1;1;1;10;1;2;2;2;2;"590,933";"3524,761";"456642,921";2
2022;1;1;1;10;1;2;3;1;2;"7738,510";"47433,414";"8501124,735";11
2022;1;1;1;10;1;2;3;2;2;"2623,859";"15413,796";"2003737,820";5
2022;1;1;1;10;1;2;4;1;2;"6054,330";"41013,397";"6535022,562";9
2022;1;1;1;10;1;2;4;2;2;"413,792";"2896,546";"515171,362";1
2022;1;1;1;10;1;2;5;1;2;"5071,110";"35017,456";"8962799,559";6
2022;1;1;1;10;1;2;5;2;2;"2476,450";"17335,147";"2235006,021";3
2022;1;1;1;10;1;2;6;1;2;"9421,956";"64139,289";"9752976,410";15
2022;1;1;1;10;1;2;6;2;2;"5849,052";"38275,190";"7972301,558";10
2022;1;1;1;10;1;2;7;1;2;"2780,337";"19112,646";"2485844,303";4
2022;1;1;1;10;1;2;7;2;2;"1641,001";"11900,797";"2901360,845";2
2022;1;1;1;10;2;1;3;1;1;"896,948";"2690,843";"665535,116";1
2022;1;1;1;10;2;1;3;1;2;"661,088";"2644,354";"428840,266";2
2022;1;1;1;10;2;1;4;1;1;"1683,802";"4701,689";"1043633,103";2
2022;1;1;1;10;2;1;5;1;1;"1482,522";"1832,238";"715731,924";2
2022;1;1;1;10;2;1;6;1;1;"919,947";"1839,895";"459973,701";1
2022;1;1;1;10;2;2;2;1;4;"285,049";"13682,328";"430993,340";1
2022;1;1;1;10;4;1;2;1;2;"1074,264";"5371,318";"161139,541";1
2022;1;1;1;10;4;1;2;2;4;"1969,837";"67043,462";"535409,507";3
2022;1;1;1;10;4;1;3;1;2;"1419,153";"8512,842";"374286,287";2
2022;1;1;1;10;4;1;3;2;1;"1444,180";"4332,539";"144127,305";2
2022;1;1;1;10;4;1;3;2;2;"1768,995";"10663,769";"700020,725";2
2022;1;1;1;10;4;1;4;1;1;"349,716";"1049,147";"87428,907";1
2022;1;1;1;10;4;1;4;1;2;"872,047";"4360,236";"218883,839";1
2022;1;1;1;10;4;1;4;2;1;"919,947";"2759,842";"68996,055";1
